Heroes,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
Anti-Mage,0.30505577,-0.8054894,1.1211579,-0.14198570000000002,0.94679374,1.3479499,0.2588346,-0.113208145,0.46585336,-0.42710173,-0.8649239,-0.14762491,-0.059076425,-0.22041512,-1.5453226999999998,0.7843611999999999,-0.06060197,0.20047858,0.32724749999999997,-0.5685878000000001,0.30157033,0.16959828,0.386424,0.60769045,0.6692634
Axe,0.22864248,0.85814947,-0.5141697000000001,0.60204744,-0.46475846,-0.33646986,-0.042450774000000004,-0.07454806,-0.04677368,-0.5573081,0.83545685,-0.082733065,-0.31300426,-0.14870901,0.110277876,0.9549945,0.6013665,0.5950546999999999,-0.54550856,-0.7453959,0.6161762,1.0818839,0.19057344,0.105105534,0.21987343
Bane,0.43443283,0.015648555,0.84229964,-0.048545964000000004,-0.3505953,-0.2784357,-0.28418672,1.0251995,-0.6055409,0.20238097,0.31247094,0.171424,0.5508268,0.6849272,0.52162194,0.62589747,-0.52246135,0.23060570000000002,-0.2694716,-0.18391629999999998,-0.7824611,-0.13705419,-0.17283887,-0.5223425,-0.24162345
Bloodseeker,0.48122668,0.33867240000000004,0.37038112,0.22071245,-0.23162689999999997,-0.2726208,0.32608990000000004,-0.009943923,0.052212536,-0.21107244,0.42262772,0.14904553,0.03363247,-0.49762633,-0.06125363,0.9689009,0.2238384,-0.25663674,-0.106540404,-0.46886462,0.31043306,0.6080264,0.15719986,-0.029146083,0.09942665
Crystal Maiden,0.46528065,-0.21939535,0.98496634,-0.34382567,-0.42305034,-0.24380672,-0.12883827,1.0245655,-0.7587246,0.39816815,0.18511748,0.16360539999999998,0.9447266,0.7074326,0.66912895,0.61674935,-0.5040935999999999,-0.044536047,-0.06215262,-0.015832951,-0.7969323,-0.5193114999999999,0.09811389,-0.46258843,-0.26588267
Drow Ranger,-0.19439479999999998,-1.3224114,1.0485512,0.55771375,0.4433642,1.2083743,-0.11710558,0.27456479999999994,0.8859398,-0.69788414,-0.14345367,-0.23548223,0.32409468,-0.49676374,-1.7959098000000002,0.56041735,-0.021445516,0.27994087,0.35655802,-0.5489744000000001,0.29402637,0.19413994,0.40049216,0.25271267,0.82333773
Earthshaker,-0.16892886,0.601218,0.45732057,-0.9845613000000001,-0.39532098,-0.34932557,0.85922086,0.35972944,-0.68053067,-0.08311534,-0.00684935,0.8696033000000001,0.036583707,0.09597835,0.36796516,0.21433933,0.8172116,0.7682866999999999,0.10549079,-0.18496582,-0.1738461,-0.22141364,0.16163196,0.11660347,0.8116325
Juggernaut,0.56026465,-1.0713224,0.9212790000000001,-0.19256884,0.82042664,1.3492483,0.28802496,-0.57306117,0.3068406,-0.21175484,-1.0637468,-0.5998834,0.21889988,0.03713937,-1.3964231000000003,0.8738579,0.35271257,0.5200005999999999,0.5553664,-0.15243289999999998,0.4884429,0.30598113,0.37438768,0.66501635,0.49495327
Mirana,-0.043565556,-0.43017885,0.001538409,-0.2684724,-0.14786749,-0.789446,0.58752275,1.5887165,-0.23898813,-0.40638617,0.14786328,0.39909416,0.08982599,0.15961939,0.29480323,0.004092513,0.8263584999999999,-0.29401994,0.18616366,0.11067507,-0.39213190000000003,-0.9560173000000001,0.56580424,0.56686985,0.5678255999999999
Morphling,0.094195,-0.98826677,0.6137299,0.25069556,0.3929863,0.88212913,0.05929188,-0.14171714,0.35902540000000005,-0.42278725,-0.6610154,-0.10316435,0.46177015,-0.29926813,-1.341226,0.5995001,-0.07741542,0.07109207,0.10769253,-0.26959717,0.07264575,0.29673955,0.27365908,0.5054173,0.54381114
Shadow Fiend,-0.66167605,-0.29270799999999997,0.21676706,0.30804768,0.00018686900000000002,-0.83717936,0.29819074,-0.085690975,-0.41003406,-0.23556039999999998,-0.5250752,0.088817,0.8624016,-0.35174978,-0.4704834,0.2289121,0.091515735,-0.70248663,-0.70173675,0.23726204,-0.5568001,0.6332413,0.25449058,0.37141198,0.4512670999999999
Phantom Lancer,0.44859204,-1.137441,0.59778965,0.1338869,0.61003184,1.4557091,-0.014080366,-0.37848997,0.37903178,-0.52930903,-0.9361294,-0.49266103,0.26770464,0.03533191,-1.4074593,0.817522,0.24271410000000002,0.50433296,0.33739507,-0.27341363,0.5165412,0.22558452,0.25451332,0.80445707,0.41526369999999996
Puck,-0.42228717,-0.051113013,-0.5197004,0.30239720000000003,0.11586753,-0.872607,0.04095705,-0.01776023,-0.69675624,-0.24780445,-0.6737377,0.010747028999999998,0.87948537,0.12272071,-0.03758427,0.25479832,0.14587197,-0.27680117,-0.8162814,0.21079367,-0.5675045,0.80891484,-0.016412327,0.62214035,0.18276425
Pudge,-0.03392349,0.18986431,-0.060350135,0.004894718,-0.16591822,-0.39974844,0.16620758,0.23565148,-0.39992908,-0.37925490000000006,0.026385939,0.06532629599999999,0.04086371,0.11562544,0.123518005,0.45421368,0.41301809999999994,0.5325821,-0.27494776,-0.12986384,0.09631451,0.4373891,0.19418071,0.17549978,0.29770508
Razor,-0.008848678,-0.26362482,-0.3583421,0.31115240000000005,-0.19256173,-0.5500020999999999,-0.04636685,0.09863212,-0.38796929999999996,-0.45741105,-0.4090474,-0.13677958,0.644139,0.09577057,0.032794647,0.41157952,0.5154239,-0.2672488,-0.37617490000000003,0.11725009,-0.13282120000000003,0.43300217,0.13996582,0.46295690000000006,-0.03445989
Sand King,0.13926758,1.1202072,-0.49488795,0.39541957,-0.5826352,-0.56289893,0.11170716,-0.16895117,-0.17484696,-0.4098813,0.6644373,0.1293773,-0.26177683,-0.13019043,0.3153393,0.90906423,0.57569075,0.8693296999999999,-0.50138235,-0.5429813,0.43280295,1.2090796,0.13239855,0.002067302,0.18372522
Storm Spirit,-0.5172424,-0.15300876,-0.25031197,0.40306062,0.004777769,-1.2012553,0.11254684599999999,-0.01346946,-0.40022814,-0.40583304,-0.65496266,0.10480215,0.6875725,-0.08551358,-0.2009932,0.18441184,-0.042014446,-0.4998268,-0.9168803,0.22808658,-0.6296463000000001,1.118955,0.057909105,0.5475481,0.19167815
Sven,0.25897413,-0.6388775,0.7132046999999999,-0.11563049,0.36707416,1.7296131000000001,-0.045493897,0.046205148,0.88724834,-0.5915429,-1.1345243,0.5435272,-0.04904651,0.020696795,-1.9510522000000001,0.80402243,-0.19824426,0.43164608,0.12762515,-0.51934606,0.4864125,0.60506094,0.04900048,0.7901196999999999,0.48008752
Tiny,-0.54449856,0.6891003000000001,0.27961698,-0.6454419,0.003345131,-0.6812813,0.42545109999999997,0.41627159999999996,-0.523694,-0.52205,-0.10586795,0.72894317,-0.25359842,0.007946186,0.059626,0.2882284,0.2617579,0.55800927,-0.37929818,-0.05436451,-0.15447631,0.20191057,0.2195525,0.2802985,0.69216657
Vengeful Spirit,0.3293493,-0.24264404,0.7235913,0.27588564,-0.5876177,-0.39815184,-0.09616897,1.2923946000000002,0.16620974,0.11303294,0.48771703,0.62584054,0.19196995,0.33558962,0.26429102,0.1826122,-0.107958525,0.23668501,-0.24666129999999997,-0.33189675,-1.0553573,0.32708487,-0.18580888,-0.65966594,0.3186446
Windranger,-0.22201152,0.025088243,0.06690094,-0.23122999,-0.014783263,-0.8321337999999999,0.44984165,0.68437535,-0.18577002,-0.30878192,-0.12301164,0.42887408,0.19856724,0.03861297,0.020397257,0.16892192,0.08850378,-0.28164023,-0.40919662,-0.05437653,-0.4221911,0.2142514,0.32978624,0.37531079999999994,0.47594532
Zeus,-0.6096706999999999,0.16235311,0.27304184,0.024128346000000002,0.47301662,-1.2034677,0.2523828,0.4230219,-0.29653713,-0.4029821,-0.27816775,0.23731726,0.18779731,-0.3982603,-0.40501377,0.42157194,-0.33538,-0.790083,-0.68317217,-0.14580186,-0.49851179999999995,0.6373977,0.45311695,0.27595812,0.42511368
Kunkka,-0.55719167,0.12569277,-0.10163201,0.33183447,0.041440517,-0.96361285,0.1361054,0.08734286599999999,-0.30563077,-0.43923745,-0.21766677,0.10650937,0.29091597,-0.15378965,-0.12431146,0.3077937,-0.00731588,-0.121172145,-0.7152115,-0.030946092999999997,-0.2624588,1.0334584999999998,0.27342412,0.28041345,0.34767709999999996
