Heroes,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
Anti-Mage,1.1489073,-0.7496591,-0.13115506,-0.22597288,0.71201366,0.26015103,-0.50679606,-0.5298451,0.24937296,0.422463,0.21943663,0.21937156,0.6762868,-0.0746561,-0.33723742,-0.51299924,0.27200285,0.8907776,0.08147105,0.40036994,-0.17865635,0.4402108,0.039685305,0.2756053,0.5751178,-0.19144087,0.9181441,-0.46612194,0.68686527,-0.8030955
Axe,-0.53372127,0.4859395,0.87713647,-0.38003382,-0.31743485,0.76029617,0.534175,0.6616912,-0.08224079,-0.30891597,0.5250565,-0.33756334,-1.2025461,-0.67157084,0.35597804,-0.24289486,-0.629146,-0.37401718,0.4912612,0.14064768,-0.583835,-0.9392749,0.8891286,1.0288013,0.112419285,0.1930421,0.1306254,0.074856594,0.15405677,-0.30582276
Bane,-0.634534,0.1524187,0.53240556,-0.047306288,-0.27720198,-0.38179407,0.43938038,0.26404202,0.5321423,0.9542782,-0.1842655,0.19870707,1.3284833,-0.35838962,-0.71111816,0.45370758,0.266485,-0.32440636,-0.051817436,0.12962644,0.73621625,0.11090759,-0.074504204,0.6768292,0.39387774,0.3040763,-0.47482085,0.37739092,0.37845317,0.22020146
Bloodseeker,0.018746115,-0.08584563,0.4292416,0.13487071,0.41228527,-0.014866911,0.056012474,0.18572856,0.5090698,-0.07893076,-0.13268459,0.103156194,-0.27813604,-0.22497596,-0.42097774,0.25478327,-0.3979417,0.54461545,0.3589091,-0.6024768,-0.2360584,-0.6469166,-0.31669155,0.63660955,0.5891671,0.76569974,0.7445786,-0.011655157,-0.18404923,-0.17333597
Crystal Maiden,0.40513712,0.13025281,0.7712743,-0.09517782,-0.024872882,-0.121007115,0.41195652,-0.025165094,-0.13355789,0.32390657,0.43633482,0.045934353,1.4768486,0.3576468,-0.024101065,0.27880841,1.3878288,0.17341779,-0.23508376,-0.03520478,-0.10436078,0.09153392,-0.56359273,-0.111186355,0.07077395,0.43714714,-0.46328494,0.52685034,0.03496006,0.30791909
Drow Ranger,0.80519134,-0.6803178,-0.34438786,-0.29295206,1.2988546,1.1312883,-0.28415567,-0.4530144,-0.15746807,0.5728857,-0.14553031,0.3995346,0.28559512,0.7179203,-0.5648198,0.37505898,0.6267638,0.9533362,-0.5703349,-0.35188568,-0.43040407,-0.21218105,-0.32069635,0.906619,0.2205258,0.07076172,1.4897333,-0.95453614,-0.21550201,-1.2449046
Earthshaker,0.5339625,0.024235684,0.46737587,1.4633805,0.32972708,-0.6455679,-0.6251467,0.11831295,-0.5639748,-0.9953203,0.6597119,0.04271122,0.42676437,-0.12886009,0.6622528,-0.050987393,0.25504607,-0.43450096,-0.05591747,0.25499696,0.66250813,0.31760627,0.94000757,0.1797276,0.09669572,0.35547867,-0.47786984,0.42812693,0.98579997,-0.83253527
Juggernaut,1.035012,-0.7702764,-0.30943802,-0.640378,0.5108559,0.54225695,-0.69454145,-0.6609008,0.21578129,-0.25367364,0.6877321,0.0456598,0.6950985,0.015140254,-0.8443545,-0.45661014,0.08362701,0.32230616,0.18583126,0.2774118,-0.27021104,0.28395593,0.16730228,0.4438291,0.8386096,-0.17224707,0.78096676,-0.34825295,-0.4316961,-0.9618871
Mirana,0.32246783,-0.1824327,0.40503442,0.47451243,0.94122386,-0.016453747,0.60977876,1.0695667,-0.4152468,0.66211283,0.43422288,0.4216972,0.27158952,-0.2428708,0.6049609,0.15391003,0.14285642,0.82275283,-1.0821081,0.4048785,0.15628953,0.08504127,-0.04439998,-0.41843146,-0.44314325,-0.6772564,0.03738088,0.75763714,-0.5099393,-0.6456355
Morphling,-0.37519622,-0.5147276,0.3581059,-0.5592729,0.41979602,0.008980921,-0.60761565,-0.53875864,-0.001673978,-0.06025177,0.07673558,0.3373275,0.36089396,0.040488407,-0.73022413,-0.31856704,0.17248024,0.5056994,-0.5296845,0.25880656,-0.053556476,0.21721476,0.11525483,-0.06567964,0.5044571,-0.17836422,1.337149,-0.584833,0.11094502,-0.8640931
